Nb,Ta,V,Cr,W,Zr,Density_g_cc_ROM,density_err,Liquidus_K_TC,Solidus_K_TC,Liquidus_C_TC,Solidus_C_TC,tm_err,ts_err,YS_1300C_MPa,Alloy_ID,VEC Avg,Cauchy Pres Avg,Pugh_Ratio_PRIOR,EQ 600C BCC_B2 MOL,EQ 600C C15_LAVES MOL,EQ 600C THCD (W/mK),EQ 1300C BCC_B2 MOL,EQ 1300C THCD (W/mK),EQ 600C BCC_SUM MOL,EQ 600C LAVES_SUM MOL,EQ 1300C BCC_SUM MOL
0.7958806452440162,0.0141193547559837,0.01,0.05,0.1,0.03,9.5,0.0,2741.867970963825,2525.009200539686,2468.717970963825,2251.859200539686,281.2820290361751,498.14079946031416,134.2872632096812,TS_000,5.119999999999999,112.14030000256449,6.2022738149503045,0.9227517296605793,0.07724827033942065,14.887433647280536,0.9999999999999998,4.165163078822863,0.9227517296605793,0.07724827033942065,0.9999999999999998
0.7838152940925722,0.0161847059074277,0.02,0.05,0.1,0.03,9.5,0.0,2734.320575599142,2507.913171148722,2461.170575599142,2234.763171148722,288.829424400858,515.236828851278,145.93617137858175,TS_001,5.119999999999999,112.09027411686972,6.1764529632698695,0.9212015593998615,0.07879844060013862,15.642483536550694,1.0,4.233594495923845,0.9212015593998615,0.07879844060013862,1.0
0.7717499429411283,0.0182500570588716,0.03,0.05,0.1,0.03,9.5,0.0,2726.799805964572,2491.525420437372,2453.649805964572,2218.375420437372,296.3501940354281,531.6245795626282,157.6132641476075,TS_002,5.12,112.04024823117497,6.150890164435956,0.9197479642871932,0.08025203571280677,16.307119032049155,0.9999999999999998,4.303683086665775,0.9197479642871932,0.08025203571280677,0.9999999999999998
0.7596845917896841,0.0203154082103158,0.04,0.05,0.1,0.03,9.5,0.0,2719.30621445872,2475.8031378308992,2446.15621445872,2202.653137830899,303.8437855412799,547.3468621691009,169.29885233523785,TS_003,5.119999999999999,111.9902223454802,6.1255815692240265,0.9183646773790418,0.0816353226209579,16.87009569588826,0.9999999999999999,4.375496872449914,0.9183646773790418,0.0816353226209579,0.9999999999999999
0.7234885383353518,0.0265114616646482,0.07,0.05,0.1,0.03,9.5,0.0,2696.99429652078,2432.2302909960144,2423.84429652078,2159.0802909960144,326.1557034792204,590.9197090039856,204.23679075973916,TS_004,5.119999999999999,111.8401446883959,6.05114364453054,0.9143407852972332,0.08565921470276702,17.939779066626144,1.0,4.602033611393395,0.9143407852972332,0.08565921470276702,1.0
0.6752271337295752,0.0347728662704247,0.11,0.05,0.1,0.03,9.5,0.0,2667.662316651971,2381.210855848083,2394.512316651971,2108.060855848083,355.4876833480289,641.9391441519169,250.0155029340314,TS_005,5.119999999999999,111.64004114561683,5.955231305229133,0.9079034407632443,0.09209655923675565,18.180536437818365,0.9999999999999999,4.9331675455549595,0.9079034407632443,0.09209655923675565,0.9999999999999999
0.663161782578131,0.036838217421869,0.12,0.05,0.1,0.03,9.5,0.0,2660.4083015781785,2369.518318284945,2387.2583015781784,2096.3683182849454,362.7416984218216,653.6316817150546,261.235482032463,TS_006,5.119999999999999,111.59001525992207,5.931826527842183,0.9057808029793328,0.09421919702066704,18.083388455464057,1.0,5.0218023877619915,0.9057808029793328,0.09421919702066704,1.0
0.6510964314266869,0.0389035685733129,0.13,0.05,0.1,0.03,9.5,0.0,2653.187324860125,2358.1992431247068,2380.037324860125,2085.0492431247067,369.9626751398751,664.9507568752933,272.34415861100103,TS_007,5.119999999999999,111.53998937422728,5.908644525107751,0.9033558962427326,0.09664410375726731,17.936733017392626,1.0000000000000002,5.11300555777047,0.9033558962427326,0.09664410375726731,1.0000000000000002
0.6390310802752428,0.0409689197247571,0.14,0.05,0.1,0.03,9.5,0.0,2646.000153627564,2347.2310437735823,2372.8501536275635,2074.081043773582,377.1498463724365,675.9189562264178,283.3316109566355,TS_008,5.119999999999999,111.48996348853251,5.885682131423807,0.9006382365688721,0.09936176343112799,17.749819966090982,0.9999999999999999,5.206904845346739,0.9006382365688721,0.09936176343112799,0.9999999999999999
0.8079459963954605,0.0120540036045394,0.0,0.05,0.1,0.03,9.499999999999998,1.7763568394002505e-15,2749.441455934073,2542.857860423672,2476.291455934073,2269.707860423672,273.7085440659271,480.2921395763288,122.68860785333578,TS_009,5.119999999999999,112.19032588825927,6.228356646810798,0.9244210709728969,0.07557892902710306,14.060982292927886,1.0,4.098324663315246,0.9244210709728969,0.07557892902710306,1.0
0.7476192406382399,0.02238075936176,0.05,0.05,0.1,0.03,9.499999999999998,1.7763568394002505e-15,2711.8403706891254,2460.7053994540443,2438.6903706891253,2187.555399454044,311.3096293108747,562.4446005459558,180.9751859690996,TS_010,5.119999999999999,111.94019645978543,6.100523404586322,0.9170230913652382,0.08297690863476195,17.327644935038574,1.0,4.449108013207294,0.9170230913652382,0.08297690863476195,1.0
