Alloy_ID,Cr,Mo,Nb,Ta,Ti,V,W,EQ 500C BCC_B2 MOL,EQ 500C BCC_B2#2 MOL,EQ 500C C15_LAVES MOL,EQ 600C BCC_B2 MOL,EQ 600C BCC_B2#2 MOL,EQ 600C C15_LAVES MOL,EQ 1300C BCC_B2 MOL,EQ 2000C BCC_B2 MOL,EQ 2000C LIQUID MOL
NbTaV65_path_04,0.05,0.1,0.176569454,0.176569454,0.1,0.296861092,0.1,0.39413046,0.508607995,0.097261545,0.579936504,0.352697759,0.067365737,1,1,
NbTaV65_path_09,0.05,0.1,0.126447938,0.126447938,0.1,0.397104124,0.1,0.582029647,0.393713058,0.024257295,0.411069231,0.588930769,,1,0.98800085,0.01199915
