,Alloy_ID,Cr,Mo,Nb,Ta,Ti,V,W,Density_g_cc,EQ 500C BCC_B2 MOL,EQ 500C BCC_B2#2 MOL,EQ 500C C15_LAVES MOL,EQ 600C BCC_B2 MOL,EQ 600C BCC_B2#2 MOL,EQ 600C C15_LAVES MOL,EQ 1300C BCC_B2 MOL,EQ 2000C BCC_B2 MOL
0,NbTaV65_path_00,0.05,0.1,0.2166666666666666,0.2166666666666666,0.1,0.2166666666666666,0.1,10.770160784709926,0.19973050468507383,0.6785395380243202,0.12172995729060587,0.026394513655455018,0.8584925076472767,0.11511297869726832,1.0,0.9999999999999999
1,NbTaV65_path_01,0.05,0.1,0.2066423634893726,0.2066423634893726,0.1,0.2367152730212547,0.1,10.649019613353094,0.8685476961624421,,0.13145230383755785,0.8857669274320888,,0.11423307256791124,1.0,0.9999999999999998
2,NbTaV65_path_02,0.05,0.1,0.1966180603120786,0.1966180603120786,0.1,0.2567638793758427,0.1,10.526626860155703,0.3082382922620315,0.5798999845091073,0.11186172322886132,0.22165742955192722,0.6835160484187561,0.09482652202931686,0.9999999999999998,1.0
3,NbTaV65_path_03,0.05,0.1,0.1865937571347846,0.1865937571347846,0.1,0.2768124857304307,0.1,10.4029630281403,0.35305218653727194,0.5416879173533684,0.10525989610935976,0.29179308290830697,0.6260670908614488,0.08213982623024413,0.9999999999999999,0.9999999999999999
4,NbTaV65_path_04,0.05,0.1,0.1765694539574906,0.1765694539574906,0.1,0.2968610920850187,0.1,10.278008213253838,0.3942301960051582,0.5084892874396951,0.09728051655514666,0.3528988734664781,0.5797118894948105,0.06738923703871155,1.0,1.0
