,Alloy_ID,Cr,Mo,Nb,Ta,Ti,V,W,Density_g_cc,EQ 500C BCC_B2 MOL,EQ 500C BCC_B2#2 MOL,EQ 500C C15_LAVES MOL,EQ 600C BCC_B2 MOL,EQ 600C BCC_B2#2 MOL,EQ 600C C15_LAVES MOL,EQ 1300C BCC_B2#2 MOL,EQ 2000C BCC_B2#2 MOL,EQ 1300C BCC_B2 MOL,EQ 2000C BCC_B2 MOL
5,NbTaV65_path_05,0.05,0.1,0.1665451507801966,0.1665451507801966,0.1,0.3169096984396067,0.1,10.1517420936878,0.47934731587074336,0.4330068472384234,0.08764583689083322,0.5414651931167084,0.40830636012674326,0.05022844675654818,0.9999999999999998,1.0,,
6,NbTaV65_path_06,0.05,0.1,0.1565208476029026,0.1565208476029026,0.1,0.3369583047941947,0.1,10.024143918860366,0.4536363723660393,0.4703605843339895,0.07600304329997129,0.5095788551214016,0.4601628912470646,0.030258253631533914,1.0,0.9999999999999999,,
7,NbTaV65_path_07,0.05,0.1,0.1464965444256086,0.1464965444256086,0.1,0.3570069111487827,0.1,9.895192498047956,0.43094425806447184,0.5071396647499989,0.06191607718552927,0.4828808566967953,0.5100643868381942,0.007054756465010344,1.0000000000000002,1.0000000000000002,,
8,NbTaV65_path_08,0.05,0.1,0.1364722412483146,0.1364722412483146,0.1,0.3770555175033707,0.1,9.764866188653205,0.41100671185679466,0.5441270670060763,0.044866221137129,0.4470688930178921,0.5529311069821077,,,,1.0,1.0000000000000002
9,NbTaV65_path_09,0.05,0.1,0.1264479380710206,0.1264479380710206,0.1,0.3971041238579588,0.1,9.633142884095612,0.9303909971616715,,0.06960900283832826,0.9808321605404392,,0.019167839459560843,,,1.0000000000000002,1.0000000000000002
