Composition,doi,Phase,Density (g/cm3),Hardness (GPa),YS (MPa) at 23 C,YS (MPa) at 1000 C,YS (MPa) at 1200 C,Test Type
AlCoCrFeNi,doi.org/10.1016/j.dib.2018.11.111,BCC,6.7,194,1110,,,
AlCoCrFeNi,doi.org/10.1016/j.dib.2018.11.111,BCC,6.7,194,1138,,,
AlCoCrFeNi,doi.org/10.1016/j.dib.2018.11.111,BCC,6.7,194,1138,,,
AlCoCrFeNi,doi.org/10.1016/j.dib.2018.11.111,BCC,6.7,194,1051,,,
AlCoCrFeNi,doi.org/10.1016/j.dib.2018.11.111,BCC,6.7,194,1373,,,
AlC0.1CoCrFeNi,doi.org/10.1016/j.dib.2018.11.111,BCC+Im,6.7,213,957,,,
AlC0.2CoCrFeNi,doi.org/10.1016/j.dib.2018.11.111,BCC+Im,6.8,151,906,,,
AlC0.3CoCrFeNi,doi.org/10.1016/j.dib.2018.11.111,BCC+Im,6.8,,867,,,
AlC0.4CoCrFeNi,doi.org/10.1016/j.dib.2018.11.111,BCC+Im,6.8,,1056,,,
AlC0.5CoCrFeNi,doi.org/10.1016/j.dib.2018.11.111,BCC+Im,6.8,,1060,,,
AlCCoCrFeNi,doi.org/10.1016/j.dib.2018.11.111,BCC+Im,6.9,,1251,,,
AlC1.5CoCrFeNi,doi.org/10.1016/j.dib.2018.11.111,BCC+Im,7,,1255,,,
AlCoCrFeMo0.1Ni,doi.org/10.1016/j.dib.2018.11.111,BCC,6.8,196,1804,,,
AlCoCrFeMo0.2Ni,doi.org/10.1016/j.dib.2018.11.111,BCC+Im,6.9,,2456,,,
AlCoCrFeMo0.3Ni,doi.org/10.1016/j.dib.2018.11.111,BCC+Im,7,,2649,,,
AlCoCrFeMo0.4Ni,doi.org/10.1016/j.dib.2018.11.111,BCC+Im,7,,2670,,,
AlCoCrFeMo0.5Ni,doi.org/10.1016/j.dib.2018.11.111,BCC+Im,7.1,,2757,,,
AlCoCrFeNb0.1Ni,doi.org/10.1016/j.dib.2018.11.111,BCC,6.8,192,1641,,,
AlCoCrFeNb0.25Ni,doi.org/10.1016/j.dib.2018.11.111,BCC+Im,6.8,,1959,,,
AlCoCrFeNb0.5Ni,doi.org/10.1016/j.dib.2018.11.111,BCC+Im,7,,2473,,,
AlCoCrFeNiSi0.2,doi.org/10.1016/j.dib.2018.11.111,BCC,6.5,188,1265,,,
AlCoCrFeNiSi0.4,doi.org/10.1016/j.dib.2018.11.111,BCC,6.2,183,1481,,,
AlCoCrFeNiSi0.6,doi.org/10.1016/j.dib.2018.11.111,BCC,6,178,1834,,,
AlCoCrFeNiSi0.8,doi.org/10.1016/j.dib.2018.11.111,BCC+Im,5.8,,2179,,,
AlCoCrFeNiSi,doi.org/10.1016/j.dib.2018.11.111,BCC,5.7,169,1110,,,
AlCoCrFeNiSi,doi.org/10.1016/j.dib.2018.11.111,BCC+Im,5.7,,2411,,,
AlCoCrFeNiTi0.5,doi.org/10.1016/j.dib.2018.11.111,FCC,6.4,187,2040,,,
AlCoCrFeNiTi0.5,doi.org/10.1016/j.dib.2018.11.111,BCC,6.4,187,2260,,,
AlCoCrFeNiTi,doi.org/10.1016/j.dib.2018.11.111,BCC,6.2,181,1860,,,
AlCoCrFeNiTi1.5,doi.org/10.1016/j.dib.2018.11.111,BCC+Im,6.1,160,2220,,,
CoCrFeMnNi,doi.org/10.1016/j.dib.2018.11.111,FCC,8,219,208,,,
CoCrFeMnNi,doi.org/10.1016/j.dib.2018.11.111,FCC,8,219,230,,,
CoCrFeMnNiV0.25,doi.org/10.1016/j.dib.2018.11.111,FCC,7.9,215,200,,,
CoCrFeMnNiV0.5,doi.org/10.1016/j.dib.2018.11.111,FCC,7.8,211,620,,,
CoCrFeMnNiV0.75,doi.org/10.1016/j.dib.2018.11.111,FCC+Im,7.7,,740,,,
CoCrFeMnNiV1.0,doi.org/10.1016/j.dib.2018.11.111,FCC+Im,7.7,,1660,,,
Al0.20CoCrFeMnNi,doi.org/10.1016/j.dib.2018.11.111,FCC,7.7,214,220,,,
Al0.38CoCrFeMnNi,doi.org/10.1016/j.dib.2018.11.111,FCC,7.5,209,244,,,
Al0.43CoCrFeMnNi,doi.org/10.1016/j.dib.2018.11.111,FCC+BCC,7.4,208,285,,,
Al0.49CoCrFeMnNi,doi.org/10.1016/j.dib.2018.11.111,FCC+BCC,7.4,206,331,,,
Al0.56CoCrFeMnNi,doi.org/10.1016/j.dib.2018.11.111,FCC+BCC,7.3,204,526,,,
Al0.62CoCrFeMnNi,doi.org/10.1016/j.dib.2018.11.111,FCC+BCC,7.2,203,833,,,
CoCrNi,doi.org/10.1016/j.dib.2018.11.111,FCC,8.3,229,300,,,
CoMnNi,doi.org/10.1016/j.dib.2018.11.111,FCC,8.4,202,231,,,
FeMnNi,doi.org/10.1016/j.dib.2018.11.111,FCC,8.1,203,221,,,
CoCrFeNi,doi.org/10.1016/j.dib.2018.11.111,FCC,8.2,225,274,,,
CoCrMnNi,doi.org/10.1016/j.dib.2018.11.111,FCC,8.1,222,282,,,
CoFeMnNi,doi.org/10.1016/j.dib.2018.11.111,FCC,8.2,205,170,,,
AlCrFeNi,doi.org/10.1016/j.dib.2018.11.111,BCC,6.3,190,1406,,,
AlCrFeNiMo0.2,doi.org/10.1016/j.dib.2018.11.111,BCC,6.5,197,1487,,,
AlCrFeNiMo0.5,doi.org/10.1016/j.dib.2018.11.111,BCC,6.8,205,1749,,,
AlCrFeNiMo0.8,doi.org/10.1016/j.dib.2018.11.111,BCC+Im,7,,1513,,,
CoCrCuFeNi,doi.org/10.1016/j.dib.2018.11.111,FCC,8.3,214,230,,,
CoCrCuFeNi,doi.org/10.1016/j.dib.2018.11.111,FCC,8.3,206,230,,,
CoCrCuFeNiTi0.5,doi.org/10.1016/j.dib.2018.11.111,FCC,7.8,206,700,,,
CoCrCuFeNiTi0.5,doi.org/10.1016/j.dib.2018.11.111,FCC,7.8,198,700,,,
CoCrCuFeNiTi0.8,doi.org/10.1016/j.dib.2018.11.111,FCC+Im,7.6,198,1042,,,
CoCrCuFeNiTi,doi.org/10.1016/j.dib.2018.11.111,FCC,7.4,128,1272,,,
Al0.25CoCrCu0.75FeNiTi0.5,doi.org/10.1016/j.dib.2018.11.111,FCC,7.5,198,750,,,
Al0.5CoCrCuFeNi,doi.org/10.1016/j.dib.2018.11.111,,7.6,198,388,,,
AlCoCrCuFeNi,doi.org/10.1016/j.dib.2018.11.111,FCC+BCC,7.1,187,950,,,
AlCoCrCuFeNi,doi.org/10.1016/j.dib.2018.11.111,FCC+BCC,7.1,184,1303,,,
AlCoCrCuFeMnNi,doi.org/10.1016/j.dib.2018.11.111,FCC+BCC+Im,7.1,183,1005,,,
AlCoCrCuFeNiTi,doi.org/10.1016/j.dib.2018.11.111,FCC+BCC,6.6,,1234,,,
AlCoCrCuFeNiV,doi.org/10.1016/j.dib.2018.11.111,FCC+BCC,6.9,174,1469,,,
Al2CoCrCuFeNi,doi.org/10.1016/j.dib.2018.11.111,FCC+BCC,6.3,170,1620,,,
Al0.5CoCrCu0.5FeNiTi0.5,doi.org/10.1016/j.dib.2018.11.111,FCC+BCC,7.1,,1580,,,
Al0.75CoCrCu0.25FeNiTi0.5,doi.org/10.1016/j.dib.2018.11.111,FCC+BCC,6.8,,1900,,,
AlCoFeNi,doi.org/10.1016/j.dib.2018.11.111,BCC,6.6,,964,,,
Al1.125CuFe0.75NiTi1.125,doi.org/10.1016/j.dib.2018.11.111,FCC,5.9,178,980,,,
Al22.5Cu20Fe15Ni20Ti22.5,doi.org/10.1016/j.dib.2018.11.111,FCC,5.9,140,980,,,
AlCuFeNiTi,doi.org/10.1016/j.dib.2018.11.111,FCC,6.1,140,1074,,,
AlCuNiTi,doi.org/10.1016/j.dib.2018.11.111,FCC,5.7,145,300,,,
AlLi0.5MgSn0.2Zn0.5,doi.org/10.1016/j.dib.2018.11.111,FCC+Im,2.9,129,546,,,
AlLiMgSnZn,doi.org/10.1016/j.dib.2018.11.111,FCC+HCP+Im,3.9,,600,,,
Al8Li0.5Mg0.5Sn0.5Zn0.5,doi.org/10.1016/j.dib.2018.11.111,FCC+Im,3,69,415,,,
Al8Cu0.5Li0.5Mg0.5Zn0.5,doi.org/10.1016/j.dib.2018.11.111,FCC+Im,2.9,,488,,,
AlCr0.5NbTiV,doi.org/10.1016/j.dib.2018.11.111,BCC,5.6,,1300,,,
AlCrNbTiV,doi.org/10.1016/j.dib.2018.11.111,BCC+Im,5.8,,1550,,,
AlCr1.5NbTiV,doi.org/10.1016/j.dib.2018.11.111,FCC+Im,5.9,,1700,,,
Al0.4Hf0.6NbTaTiZr,doi.org/10.1016/j.dib.2018.11.111,BCC,9.1,124,1841,,,
Al0.3HfNbTaTiZr,doi.org/10.1016/j.dib.2018.11.111,BCC,9.5,,1188,,,
Al0.5HfNbTaTiZr,doi.org/10.1016/j.dib.2018.11.111,BCC,9.34,,1302,,,
Al0.75HfNbTaTiZr,doi.org/10.1016/j.dib.2018.11.111,BCC,9.3,110,1415,,,
AlMo0.5NbTa0.5TiZr,doi.org/10.1016/j.dib.2018.11.111,BCC,7.1,108,2000,,,
Al0.25MoNbTiV,doi.org/10.1016/j.dib.2018.11.111,BCC,7.1,107,1250,,,
Al0.5MoNbTiV,doi.org/10.1016/j.dib.2018.11.111,BCC,6.8,105,1625,,,
Al0.75MoNbTiV,doi.org/10.1016/j.dib.2018.11.111,BCC,6.6,123,1260,,,
AlMoNbTiV,doi.org/10.1016/j.dib.2018.11.111,BCC,6.4,164,1375,,,
Al0.25NbTaTiV,doi.org/10.1016/j.dib.2018.11.111,BCC,8.8,158,1330,,,
Al0.5NbTaTiV,doi.org/10.1016/j.dib.2018.11.111,BCC,8.5,154,1014,,,
AlNbTaTiV,doi.org/10.1016/j.dib.2018.11.111,BCC,7.9,150,993,,,
Al0.3NbTa0.8Ti1.4V0.2Zr1.3,doi.org/10.1016/j.dib.2018.11.111,BCC,7.7,130,1965,,,
Al0.5NbTa0.8Ti1.5V0.2Zr,doi.org/10.1016/j.dib.2018.11.111,BCC,7.6,127,2035,,,
Al0.3NbTaTi1.4Zr1.3,doi.org/10.1016/j.dib.2018.11.111,BCC,8.1,121,1965,,,
AlNb1.5Ta0.5Ti1.5Zr0.5,doi.org/10.1016/j.dib.2018.11.111,BCC,6.8,110,1280,,,
AlNbTiV,doi.org/10.1016/j.dib.2018.11.111,BCC,5.5,111,1020,,,
AlNbTiV,doi.org/10.1016/j.dib.2018.11.111,BCC,5.5,113,1000,,,
CrHfNbTiZr,doi.org/10.1016/j.dib.2018.11.111,BCC+lm,8.2,106,1375,,,
CrMo0.5NbTa0.5TiZr,doi.org/10.1016/j.dib.2018.11.111,BCC+Im,8,105,1595,,,
CrNbTiVZr,doi.org/10.1016/j.dib.2018.11.111,BCC+Im,6.6,105,1298,,,
CrNbTiZr,doi.org/10.1016/j.dib.2018.11.111,BCC+Im,6.6,112,1260,,,
Hf0.5Mo0.5NbTiZr,doi.org/10.1016/j.dib.2018.11.111,BCC+Im,7.9,,1178,,,
Hf0.5Mo0.5NbSi0.1TiZr,doi.org/10.1016/j.dib.2018.11.111,BCC+Im,7.7,,1365,,,
Hf0.5Mo0.5NbSi0.3TiZr,doi.org/10.1016/j.dib.2018.11.111,BCC+Im,7.5,,1428,,,
Hf0.5Mo0.5NbSi0.5TiZr,doi.org/10.1016/j.dib.2018.11.111,BCC+Im,7.2,,1605,,,
Hf0.5Mo0.5NbSi0.7TiZr,doi.org/10.1016/j.dib.2018.11.111,BCC+Im,7,,1604,,,
Hf0.5Mo0.5NbSi0.9TiZr,doi.org/10.1016/j.dib.2018.11.111,BCC+Im,6.8,,1677,,,
Hf0.5Mo0.5NbTiZrC0.1,doi.org/10.1016/j.dib.2018.11.111,BCC+lm,7.8,,1183,,,
Hf0.5Mo0.5NbTiZrC0.3,doi.org/10.1016/j.dib.2018.11.111,BCC+lm,7.7,,1201,,,
HfMo0.25NbTaTiZr,doi.org/10.1016/j.dib.2018.11.111,BCC,9.9,,1112,,,
HfMo0.5NbTaTiZr,doi.org/10.1016/j.dib.2018.11.111,BCC,9.9,,1317,,,
CoCrCuFeMnNiTiV,doi.org/10.1016/j.dib.2018.11.111,FCC+BCC+Im,7.3,,1312,,,
Al11.1(CoCrCuFeMnNiTiV),doi.org/10.1016/j.dib.2018.11.111,FCC+BCC,6.7,,1862,,,
Al20(CoCrCuFeMnNiTiV)80,doi.org/10.1016/j.dib.2018.11.111,BCC,6.1,,1465,,,
Al40(CoCrCuFeMnNiTiV)60,doi.org/10.1016/j.dib.2018.11.111,BCC+Im,5.1,,1461,,,
(CuMnNi)75Zn25,doi.org/10.1016/j.dib.2018.11.111,FCC,8.3,74,215,,,
(CuMnNi)80Zn20,doi.org/10.1016/j.dib.2018.11.111,FCC,8.3,182,140,,,
(CuMnNi)90Al10,doi.org/10.1016/j.dib.2018.11.111,FCC+Im,8.1,,515,,,
(CuMnNi)90Sn10,doi.org/10.1016/j.dib.2018.11.111,FCC+Im,8.3,180,630,,,
(CuMnNi)95Al5,doi.org/10.1016/j.dib.2018.11.111,FCC,8.3,163,330,,,
(CuMnNi)95Sn5,doi.org/10.1016/j.dib.2018.11.111,FCC+Im,8.4,132,380,,,
AlNbTiV,10.1557/jmr.2018.153,BCC,5.48,,1020,110,,
AlCr0.5NbTiV,10.1557/jmr.2018.153,BCC,5.61,,1300,40,,
AlCrMoTi,10.1557/jmr.2018.153,BCC,5.98,,1100,375,,
AlMoNbTi,10.1557/jmr.2018.153,BCC,6.46,,,540,,
AlCrMoNbTi,10.1557/jmr.2018.153,BCC,6.56,,1010,550,,
AlNb1.5Ta0.5Ti1.5Zr0.5,10.1557/jmr.2018.153,BCC,6.85,,1280,403,,
AlNbTa0.5TiZr0.5,10.1557/jmr.2018.153,B2,6.92,,1352,535,,
AlMo0.5NbTa0.5TiZr0.5,10.1557/jmr.2018.153,B2,7.23,,1320,935,,
