IM,Ag,Al,B,C,Ca,Co,Cr,Cu,Fe,Ga,Ge,Hf,Li,Mg,Mn,Mo,N,Nb,Nd,Ni,Pd,Re,Sc,Si,Sn,Ta,Ti,V,W,Y,Zn,Zr
1.0,0.0,0.0,0.0,0.0,0.0,0.18518519,0.18518519,0.0,0.18518519,0.0,0.0,0.0,0.0,0.0,0.07407407,0.0,0.0,0.0,0.0,0.18518519,0.18518519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.19238477,0.19238477,0.0,0.19238477,0.0,0.0,0.0,0.0,0.0,0.03807615,0.0,0.0,0.0,0.0,0.19238477,0.19238477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.06706707,0.0,0.0,0.0,0.13313313,0.13313313,0.13313313,0.13313313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13313313,0.0,0.0,0.0,0.0,0.0,0.0,0.26726727,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.068,0.0,0.0,0.0,0.137,0.137,0.137,0.137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.137,0.0,0.0,0.0,0.0,0.0,0.0,0.247,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.069,0.0,0.0,0.0,0.137,0.137,0.137,0.137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.137,0.0,0.0,0.0,0.0,0.0,0.0,0.246,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.07,0.0,0.0,0.0,0.141,0.141,0.141,0.141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.141,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.072,0.0,0.0,0.0,0.145,0.145,0.145,0.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.145,0.0,0.0,0.0,0.0,0.0,0.0,0.203,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.07507508,0.0,0.0,0.0,0.14914915,0.14914915,0.14914915,0.14914915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14914915,0.0,0.0,0.0,0.0,0.0,0.0,0.17917918,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.07692308,0.0,0.0,0.0,0.15384615,0.15384615,0.15384615,0.15384615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615,0.0,0.0,0.0,0.0
1.0,0.0,0.07692308,0.0,0.0,0.0,0.15384615,0.15384615,0.15384615,0.15384615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.07892108,0.0,0.0,0.0,0.15884116,0.15884116,0.15884116,0.15884116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15884116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12687313,0.0,0.0,0.0,0.0
1.0,0.0,0.07892108,0.0,0.0,0.0,0.15884116,0.15884116,0.15884116,0.15884116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15884116,0.0,0.0,0.0,0.0,0.0,0.0,0.12687313,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.08,0.0,0.0,0.0,0.17,0.17,0.08,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.082,0.0,0.0,0.0,0.164,0.164,0.164,0.164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.098,0.0,0.0,0.0,0.0
1.0,0.0,0.09090909,0.0,0.0,0.0,0.18181818,0.18181818,0.18181818,0.18181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.14285714,0.0,0.0,0.0,0.14285714,0.14285714,0.14285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714,0.0,0.0,0.14285714,0.0,0.0
1.0,0.0,0.147,0.0,0.0,0.0,0.147,0.147,0.147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.147,0.0,0.0,0.0,0.0,0.0,0.0,0.147,0.0,0.0,0.118,0.0,0.0
1.0,0.0,0.147,0.0,0.0,0.0,0.147,0.147,0.147,0.147,0.0,0.0,0.0,0.0,0.0,0.0,0.118,0.0,0.0,0.0,0.147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.15154536,0.0,0.0,0.0,0.15154536,0.15154536,0.15154536,0.15154536,0.0,0.0,0.0,0.0,0.0,0.0,0.09072782,0.0,0.0,0.0,0.15154536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.15384615,0.0,0.0,0.0,0.15384615,0.15384615,0.15384615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615,0.0,0.0,0.07692308,0.0,0.0
1.0,0.0,0.16132265,0.0,0.0,0.0,0.16132265,0.16132265,0.16132265,0.16132265,0.0,0.0,0.0,0.0,0.0,0.0,0.03206413,0.0,0.0,0.0,0.16132265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.16666667,0.0,0.0,0.0,0.16666667,0.0,0.16666667,0.16666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666667,0.16666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.16666667,0.0,0.0,0.0,0.16666667,0.16666667,0.16666667,0.16666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.16816817,0.0,0.0,0.0,0.0,0.16816817,0.16816817,0.16816817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32732733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0
1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.31262525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15631263,0.31262525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06212425,0.0,0.0,0.0,0.0,0.0,0.15631263,0.0
