Composition,doi,Phase,Density (g/cm3),Hardness (GPa),YS (MPa) at 23 C,YS (MPa) at 1000 C,YS (MPa) at 1200 C,Test Type,A,Ag,Al,Au,B,Be,C,Ca,Co,Cr,Cu,D,E,Fe,Ga,Gd,Hf,I,Ir,Li,M,Mg,Mn,Mo,N,Nb,Ni,O,P,Pb,Pd,Pt,Q,Re,Rh,S,Si,Sn,Sr,T,Ta,Ti,V,Vi,W,Y,Yb,Zn,Zr,Density_g_cc_ROM,VEC,Pugh_Ratio,Cauchy_Pressure,YS_1300C_MPa,Solidus_K_TC,Liquidus_K_TC,Solidus_C_TC,Liquidus_C_TC,THCD_25C_W_mK
AlNbTaTiV,10.1016/j.actamat.2016.08.081,BCC,7.89,,991,,,,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,7.715200000000001,4.4,3.13888888888889,93.92,42.68900966575237,2149.52044334662,2289.826236346388,1876.37044334662,2016.6762363463881,
Al0.3NbTa0.8Ti1. 4V0.2Zr1.3,10.1016/j.actamat.2016.08.081,BCC,7.78,,1965,,,,0.0,0.0,0.0652173913043478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2173913043478261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1739130434782609,0.2173913043478261,0.0434782608695652,0.0,0.0,0.0,0.0,0.0,0.2826086956521739,8.029565217391305,4.369565217391305,3.014556040756916,86.92826086956524,64.86033965784605,1742.0893833623468,2247.108182814572,1468.9393833623467,1973.958182814572,
Al0.5NbTa0.8Ti1.5V0.2Zr,10.1016/j.actamat.2016.08.081,BCC+BCC,7.42,,2035,,,,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.3,0.04,0.0,0.0,0.0,0.0,0.0,0.2,7.554600000000001,4.3,2.960474308300396,85.53600000000002,37.85846409051412,1820.093247602738,2242.16089756914,1546.9432476027382,1969.01089756914,
Al0.3NbTaTi1.4Zr1.3,10.1016/j.actamat.2016.08.081,BCC+BCC,8.18,,1965,,,,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.26,8.17088,4.34,2.9346405228758177,84.726,36.843640032771695,2098.9819757236182,2270.195972918832,1825.8319757236181,1997.045972918832,
AlNb1.5Ta0.5Ti1.5Zr0.5,10.1016/j.actamat.2016.08.081,BCC,6.88,,1280,,,,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,6.783800000000002,4.200000000000001,3.0913242009132444,85.55000000000001,7.253216499400306,2187.4483464971217,2251.768656961109,1914.2983464971217,1978.618656961109,
AlNbTiV,10.1016/j.actamat.2016.08.081,BCC,5.59,,1020,,,,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,5.4715,4.25,3.238095238095237,93.70000000000002,18.371287910295425,2049.4607264295933,2069.196233976122,1776.3107264295932,1796.046233976122,
CrHfNbTiZr,10.1016/j.actamat.2016.08.081,BCC+Laves+Laves,8.24,,1375,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,8.0112,4.6,2.5736434108527133,71.18000000000002,280.1231279877946,1645.6706620221682,1834.8117264361144,1372.5206620221684,1561.6617264361143,
CrMo0.5NbTa0.5TiZr,10.1016/j.actamat.2016.08.081,BCC+BCC+Laves,8.23,,1595,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,8.0462,4.9,2.429097605893187,74.17,650.4940522449657,1643.8521520530542,2118.892101096098,1370.7021520530543,1845.742101096098,
CrNbTiVZr,10.1016/j.actamat.2016.08.081,BCC+Laves,6.52,,1298,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.2,6.571200000000001,4.8,2.5736434108527133,83.56,468.9070510438303,1647.437952601222,1803.668426883044,1374.287952601222,1530.518426883044,
CrNbTiZr,10.1016/j.actamat.2016.08.081,BCC+Laves,6.7,,1260,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,6.6865,4.75,2.406392694063926,72.65,409.5077963064679,1627.6242385640069,1824.2173597718331,1354.474238564007,1551.0673597718333,
HfMoNbTiZr,10.1016/j.actamat.2016.08.081,BCC,8.69,,1575,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,8.6372,4.6,2.9561403508771944,79.30000000000001,250.58277303109804,2027.4968763953875,2185.9902283499646,1754.3468763953874,1912.8402283499645,
HfNbTaTiZr,10.1016/j.actamat.2016.08.081,BCC,9.94,,929,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,9.9192,4.4,3.091324200913243,85.12,33.26293412751387,2124.303690571326,2300.092882013988,1851.153690571326,2026.9428820139879,
HfNbTiVZr,10.1016/j.actamat.2016.08.081,BCC,8.06,,1170,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.2,7.803200000000001,4.4,3.2380952380952395,91.60000000000002,105.78995658622073,1769.185666003104,1908.9259632732387,1496.0356660031039,1635.7759632732386,
HfNbTiZr,10.1016/j.actamat.2016.08.081,BCC,8.4,,879,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,8.226500000000001,4.25,3.175438596491228,82.69999999999999,2.079748960134418,2050.192953652273,2098.8144722801635,1777.042953652273,1825.6644722801634,
MoNbTaVW,10.1016/j.actamat.2016.08.081,BCC,12.36,,1246,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,12.18,5.4,2.7916666666666674,95.15999999999998,518.418146785449,2730.607545241985,2938.2449427451816,2457.457545241985,2665.0949427451815,
MoNbTaW,10.1016/j.actamat.2016.08.081,BCC,13.75,,1058,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,13.697500000000002,5.5,2.651741293532339,87.14999999999998,214.5952863835683,3077.2688762837515,3137.113461526813,2804.1188762837514,2863.963461526813,
NbTaTiV,10.1016/j.actamat.2016.08.081,BCC,9.17,,1092,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,8.969000000000001,4.75,3.1754385964912286,105.85000000000002,110.90070431355808,2212.615487413017,2441.7193011024065,1939.465487413017,2168.5693011024064,
NbTiVZr,10.1016/j.actamat.2016.08.081,BCC,6.5,,1105,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,6.4265,4.5,3.175438596491228,98.175,154.03405557586836,1754.859488264945,1924.237561535084,1481.7094882649449,1651.0875615350842,
NbTiV2Zr,10.1016/j.actamat.2016.08.081,BCC,6.38,,918,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.2,6.363200000000001,4.6,3.2380952380952395,103.98000000000002,238.06691349712568,1688.948015414926,1870.0487925237364,1415.7980154149259,1596.8987925237366,
Al0.4Hf0.6NbTaTiZr,10.1016/j.actamat.2016.08.081,BCC,9.05,,,298.0,,,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,9.0704,4.319999999999999,3.054200542005421,83.592,31.15368467927448,2101.75127504248,2288.431221817603,1828.6012750424798,2015.2812218176027,
AlMo0.5NbTa0.5TiZr,10.1016/j.actamat.2016.08.081,BCC+B4,7.4,,,745.0,,,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,7.156200000000001,4.3,2.9346405228758177,78.39,81.90540665170215,2055.7805685388544,2249.7123193978887,1782.6305685388543,1976.5623193978886,
Al0.3NbTa0.8Ti1. 4V0.2Zr1.5,10.1016/j.actamat.2016.08.081,BCC,7.78,,,166.0,,,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.2083333333333333,0.0416666666666666,0.0,0.0,0.0,0.0,0.0,0.3125,7.966666666666667,4.354166666666667,3.004636068613816,85.97708333333334,62.19235334423068,1741.319912802161,2220.6106798130127,1468.169912802161,1947.4606798130126,
Al0.5NbTa0.8Ti1.5V0.2Zr,10.1016/j.actamat.2016.08.081,BCC+BCC,7.42,,,220.0,,,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.3,0.04,0.0,0.0,0.0,0.0,0.0,0.2,7.554600000000001,4.3,2.960474308300396,85.53600000000002,37.85846409051412,1820.093247602738,2242.16089756914,1546.9432476027382,1969.01089756914,
Al0.3NbTaTi1.4Zr1.5,10.1016/j.actamat.2016.08.081,BCC+BCC,8.18,,,236.0,,,0.0,0.0,0.0576923076923076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1923076923076923,0.2692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.2884615384615384,8.107384615384614,4.326923076923077,2.9289000418235047,83.9326923076923,36.161965944729495,2085.782771188844,2243.487327350626,1812.632771188844,1970.3373273506259,
AlNb1.5Ta0.5Ti1.5Zr0.7,10.1016/j.actamat.2016.08.081,BCC,6.88,,,403.0,,,0.0,0.0,0.1923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2884615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0961538461538461,0.2884615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.1346153846153846,6.773653846153847,4.1923076923076925,3.078740157480316,84.72500000000002,9.853412057241846,2175.479349609851,2235.2283700757325,1902.3293496098509,1962.0783700757324,
AlNbTiV,10.1016/j.actamat.2016.08.081,BCC,5.59,,,158.0,,,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,5.4715,4.25,3.238095238095237,93.70000000000002,18.371287910295425,2049.4607264295933,2069.196233976122,1776.3107264295932,1796.046233976122,
CrMo0.5NbTa0.5TiZr,10.1016/j.actamat.2016.08.081,BCC+BCC+Laves,8.23,,,546.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,8.0462,4.9,2.429097605893187,74.17,650.4940522449657,1643.8521520530542,2118.892101096098,1370.7021520530543,1845.742101096098,
CrNbTiVZr,10.1016/j.actamat.2016.08.081,BCC+Laves,6.52,,,615.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.2,6.571200000000001,4.8,2.5736434108527133,83.56,468.9070510438303,1647.437952601222,1803.668426883044,1374.287952601222,1530.518426883044,
CrNbTiZr,10.1016/j.actamat.2016.08.081,BCC+Laves,6.7,,,115.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,6.6865,4.75,2.406392694063926,72.65,409.5077963064679,1627.6242385640069,1824.2173597718331,1354.474238564007,1551.0673597718333,
HfMoNbTiZr,10.1016/j.actamat.2016.08.081,BCC,8.69,,,635.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,8.6372,4.6,2.9561403508771944,79.30000000000001,250.58277303109804,2027.4968763953875,2185.9902283499646,1754.3468763953874,1912.8402283499645,
HfNbTaTiZr,10.1016/j.actamat.2016.08.081,BCC,9.94,,,295.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,9.9192,4.4,3.091324200913243,85.12,33.26293412751387,2124.303690571326,2300.092882013988,1851.153690571326,2026.9428820139879,
